"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.444531837E2,6.508475737E1,2.568483191E1,4.527651922E1,1.529999971E0,2.460000038E1,3.790092468E0,2.500000000E0
1.454531704E2,6.508477020E1,2.568484354E1,4.551827613E1,1.549999952E0,1.910000038E1,3.790092468E0,2.500000000E0
1.464538102E2,6.508478397E1,2.568485512E1,4.571163196E1,1.580000043E0,1.950000000E1,3.790092468E0,2.500000000E0
1.474534880E2,6.508479746E1,2.568486521E1,4.591469253E1,1.539999962E0,1.660000038E1,3.790092468E0,2.500000000E0
1.484536056E2,6.508481048E1,2.568487764E1,4.590400795E1,1.529999971E0,1.920000076E1,3.790092468E0,2.500000000E0
1.494528406E2,6.508482385E1,2.568489056E1,4.589600881E1,1.519999981E0,2.070000076E1,3.790092468E0,2.500000000E0
1.504532740E2,6.508483597E1,2.568490261E1,4.587604709E1,1.470000029E0,2.179999924E1,3.790092468E0,2.500000000E0
1.514530306E2,6.508484858E1,2.568491298E1,4.596045548E1,1.519999981E0,2.079999924E1,3.790092468E0,2.500000000E0
1.524532696E2,6.508486186E1,2.568492196E1,4.595758354E1,1.539999962E0,1.789999962E1,3.790092468E0,2.500000000E0
1.534537680E2,6.508487539E1,2.568493248E1,4.596746781E1,1.549999952E0,1.870000076E1,3.790092468E0,2.500000000E0
1.544537793E2,6.508488868E1,2.568494269E1,4.610369492E1,1.580000043E0,1.779999924E1,3.790092468E0,2.500000000E0
1.554532582E2,6.508490184E1,2.568495209E1,4.631475121E1,1.559999943E0,1.729999924E1,3.790092468E0,2.500000000E0
1.564532325E2,6.508491492E1,2.568496213E1,4.647099791E1,1.580000043E0,1.770000076E1,3.790092468E0,2.500000000E0
1.574537584E2,6.508492877E1,2.568497344E1,4.649321116E1,1.590000033E0,1.800000000E1,3.790092468E0,2.500000000E0
1.584534994E2,6.508494314E1,2.568498424E1,4.678922806E1,1.570000052E0,1.720000076E1,3.790092468E0,2.500000000E0
1.594534882E2,6.508495724E1,2.568499423E1,4.693235198E1,1.580000043E0,1.539999962E1,3.790092468E0,2.500000000E0
1.604528760E2,6.508497114E1,2.568500507E1,4.701810286E1,1.559999943E0,1.739999962E1,3.790092468E0,2.500000000E0
1.614536863E2,6.508498542E1,2.568501599E1,4.704556508E1,1.620000005E0,1.710000038E1,3.790092468E0,2.500000000E0
1.624536767E2,6.508499916E1,2.568502730E1,4.693704105E1,1.590000033E0,1.700000000E1,3.790092468E0,2.500000000E0
1.634534474E2,6.508501309E1,2.568503640E1,4.687417142E1,1.580000043E0,1.560000038E1,3.790092468E0,2.500000000E0
1.644529731E2,6.508502573E1,2.568504615E1,4.688637526E1,1.539999962E0,1.679999924E1,3.790092468E0,2.500000000E0
1.654536098E2,6.508503884E1,2.568505513E1,4.698384515E1,1.519999981E0,1.779999924E1,3.790092468E0,2.500000000E0
1.664536192E2,6.508505213E1,2.568506359E1,4.709327794E1,1.519999981E0,1.689999962E1,3.790092468E0,2.500000000E0
1.674531760E2,6.508506610E1,2.568507162E1,4.722822330E1,1.610000014E0,1.710000038E1,3.790092468E0,2.500000000E0
1.684532873E2,6.508508027E1,2.568508312E1,4.734601754E1,1.580000043E0,1.810000038E1,3.790092468E0,2.500000000E0
1.694537388E2,6.508509458E1,2.568509230E1,4.733716393E1,1.639999986E0,1.519999981E1,3.790092468E0,2.500000000E0
1.704535229E2,6.508510896E1,2.568510167E1,4.739477759E1,1.610000014E0,1.469999981E1,3.790092468E0,2.500000000E0
1.714534288E2,6.508512282E1,2.568511125E1,4.746093626E1,1.549999952E0,1.639999962E1,3.790092468E0,2.500000000E0
1.724532194E2,6.508513712E1,2.568512406E1,4.754326897E1,1.629999995E0,2.060000038E1,3.790092468E0,2.500000000E0
1.734536315E2,6.508515148E1,2.568513608E1,4.750713248E1,1.580000043E0,1.970000076E1,3.790092468E0,2.500000000E0
1.744535152E2,6.508516465E1,2.568514726E1,4.730974140E1,1.519999981E0,2.189999962E1,3.790092468E0,2.500000000E0
1.754536649E2,6.508517896E1,2.568515562E1,4.740391519E1,1.590000033E0,1.679999924E1,3.790092468E0,2.500000000E0
1.764532320E2,6.508519341E1,2.568516414E1,4.741227351E1,1.580000043E0,1.750000000E1,3.790092468E0,2.500000000E0
1.774533423E2,6.508520699E1,2.568517341E1,4.743296107E1,1.549999952E0,1.760000038E1,3.790092468E0,2.500000000E0
1.784530245E2,6.508522094E1,2.568518401E1,4.752115336E1,1.570000052E0,1.750000000E1,3.790092468E0,2.500000000E0
1.794537766E2,6.508523534E1,2.568519501E1,4.746835432E1,1.600000024E0,1.860000038E1,3.790092468E0,2.500000000E0
1.804531772E2,6.508524980E1,2.568520432E1,4.760867060E1,1.610000014E0,1.750000000E1,3.790092468E0,2.500000000E0
1.814535763E2,6.508526354E1,2.568521470E1,4.774019790E1,1.600000024E0,2.020000076E1,3.790092468E0,2.500000000E0
1.824529933E2,6.508527603E1,2.568522679E1,4.773970633E1,1.539999962E0,2.170000076E1,3.790092468E0,2.500000000E0
1.834535302E2,6.508528867E1,2.568523744E1,4.779506197E1,1.549999952E0,1.900000000E1,3.790092468E0,2.500000000E0
1.844532705E2,6.508530165E1,2.568524739E1,4.781574962E1,1.570000052E0,2.129999924E1,3.790092468E0,2.500000000E0
1.854533336E2,6.508531488E1,2.568525917E1,4.778516757E1,1.559999943E0,2.200000000E1,3.790092468E0,2.500000000E0
1.864528931E2,6.508532896E1,2.568527079E1,4.791059122E1,1.570000052E0,2.210000038E1,3.790092468E0,2.500000000E0
1.874537357E2,6.508534161E1,2.568528201E1,4.770624224E1,1.570000052E0,2.160000038E1,3.790092468E0,2.500000000E0
1.884531739E2,6.508535450E1,2.568529279E1,4.770184441E1,1.509999990E0,1.910000038E1,3.790092468E0,2.500000000E0
1.894537237E2,6.508536582E1,2.568530223E1,4.752917305E1,1.450000048E0,1.760000038E1,3.790092468E0,2.500000000E0
1.904528612E2,6.508537654E1,2.568531444E1,4.750060567E1,1.450000048E0,2.539999962E1,3.790092468E0,2.500000000E0
1.914532131E2,6.508538941E1,2.568532428E1,4.766631287E1,1.509999990E0,1.439999962E1,3.790092468E0,2.500000000E0
1.924531508E2,6.508540200E1,2.568531939E1,4.786186719E1,1.429999948E0,3.495000000E2,3.790092468E0,2.500000000E0
1.934532297E2,6.508541339E1,2.568530279E1,4.778105525E1,1.460000038E0,3.310000000E2,3.790092468E0,2.500000000E0
1.944530549E2,6.508542307E1,2.568527895E1,4.771672358E1,1.570000052E0,3.183999939E2,3.790092468E0,2.500000000E0
1.954536629E2,6.508543075E1,2.568525240E1,4.727110586E1,1.610000014E0,3.103999939E2,3.790092468E0,2.500000000E0
1.964530414E2,6.508543659E1,2.568522508E1,4.683903838E1,1.549999952E0,3.073999939E2,3.790092468E0,2.500000000E0
1.974535412E2,6.508544192E1,2.568519548E1,4.652159515E1,1.559999943E0,3.071000061E2,3.790092468E0,2.500000000E0
1.984536964E2,6.508544818E1,2.568516880E1,4.637535517E1,1.559999943E0,3.052000122E2,3.790092468E0,2.500000000E0
1.994528194E2,6.508545382E1,2.568514185E1,4.593077550E1,1.529999971E0,3.057000122E2,3.790092468E0,2.500000000E0
2.004534614E2,6.508545950E1,2.568511488E1,4.561906935E1,1.529999971E0,3.036000061E2,3.790092468E0,2.500000000E0
2.014538555E2,6.508546502E1,2.568508741E1,4.547661375E1,1.500000000E0,3.012000122E2,3.790092468E0,2.500000000E0
2.024535287E2,6.508547045E1,2.568505840E1,4.524309381E1,1.559999943E0,3.022999878E2,3.790092468E0,2.500000000E0
2.034532136E2,6.508547716E1,2.568503143E1,4.522606518E1,1.529999971E0,3.013999939E2,3.790092468E0,2.500000000E0
2.044537055E2,6.508548303E1,2.568500294E1,4.509795283E1,1.549999952E0,2.986000061E2,3.790092468E0,2.500000000E0
2.054535788E2,6.508548986E1,2.568497598E1,4.487322154E1,1.539999962E0,3.018999939E2,3.790092468E0,2.500000000E0
2.064529933E2,6.508549633E1,2.568494935E1,4.472051179E1,1.529999971E0,3.027000122E2,3.790092468E0,2.500000000E0
2.074528792E2,6.508550290E1,2.568492007E1,4.454668401E1,1.600000024E0,3.011000061E2,3.790092468E0,2.500000000E0
2.084532892E2,6.508550914E1,2.568489108E1,4.433477034E1,1.519999981E0,3.002999878E2,3.790092468E0,2.500000000E0
2.094534883E2,6.508551576E1,2.568486145E1,4.426177265E1,1.559999943E0,3.015000000E2,3.790092468E0,2.500000000E0
2.104536643E2,6.508552298E1,2.568483177E1,4.415160442E1,1.580000043E0,3.017000122E2,3.790092468E0,2.500000000E0
2.114534853E2,6.508552913E1,2.568480112E1,4.401183442E1,1.570000052E0,2.981000061E2,3.790092468E0,2.500000000E0
2.124528799E2,6.508553607E1,2.568477287E1,4.380303336E1,1.580000043E0,3.020000000E2,3.790092468E0,2.500000000E0
2.134534670E2,6.508554299E1,2.568474505E1,4.371007700E1,1.590000033E0,3.012999878E2,3.790092468E0,2.500000000E0
2.144528833E2,6.508554909E1,2.568471673E1,4.363482103E1,1.559999943E0,2.975000000E2,3.790092468E0,2.500000000E0
2.154534170E2,6.508555523E1,2.568468727E1,4.344597870E1,1.580000043E0,2.968999939E2,3.790092468E0,2.500000000E0
2.164531202E2,6.508556087E1,2.568466010E1,4.339391612E1,1.549999952E0,2.967999878E2,3.790092468E0,2.500000000E0
2.174538387E2,6.508556664E1,2.568463031E1,4.310119205E1,1.570000052E0,2.996000061E2,3.790092468E0,2.500000000E0
2.184530457E2,6.508557233E1,2.568460132E1,4.297784050E1,1.559999943E0,2.987999878E2,3.790092468E0,2.500000000E0
2.194528835E2,6.508557771E1,2.568457303E1,4.289111007E1,1.580000043E0,2.960000000E2,3.790092468E0,2.500000000E0
2.204534417E2,6.508558275E1,2.568454371E1,4.268859609E1,1.559999943E0,2.936000061E2,3.790092468E0,2.500000000E0
2.214536656E2,6.508558686E1,2.568451377E1,4.264440752E1,1.549999952E0,2.888999939E2,3.790092468E0,2.500000000E0
2.224535655E2,6.508559017E1,2.568448298E1,4.252606146E1,1.500000000E0,2.835000000E2,3.790092468E0,2.500000000E0
2.234537288E2,6.508559252E1,2.568445044E1,4.254168786E1,1.519999981E0,2.783999939E2,3.790092468E0,2.500000000E0
2.244532677E2,6.508559424E1,2.568441679E1,4.239050538E1,1.549999952E0,2.757000122E2,3.790092468E0,2.500000000E0
2.254529380E2,6.508559428E1,2.568438368E1,4.227515086E1,1.509999990E0,2.725000000E2,3.790092468E0,2.500000000E0
2.264532616E2,6.508559232E1,2.568435188E1,4.218195243E1,1.500000000E0,2.615000000E2,3.790092468E0,2.500000000E0
2.274530495E2,6.508558910E1,2.568432298E1,4.207965986E1,1.490000010E0,2.570000000E2,3.790092468E0,2.500000000E0
2.284536378E2,6.508558479E1,2.568429328E1,4.206202333E1,1.500000000E0,2.535000000E2,3.790092468E0,2.500000000E0
2.294532000E2,6.508557939E1,2.568426266E1,4.215785143E1,1.490000010E0,2.493000031E2,3.790092468E0,2.500000000E0
2.304535385E2,6.508557349E1,2.568423256E1,4.220662150E1,1.500000000E0,2.446000061E2,3.790092468E0,2.500000000E0
2.314534065E2,6.508556579E1,2.568420423E1,4.203267456E1,1.539999962E0,2.383999939E2,3.790092468E0,2.500000000E0
2.324533924E2,6.508555793E1,2.568417953E1,4.184700868E1,1.490000010E0,2.348999939E2,3.790092468E0,2.500000000E0
2.334536919E2,6.508554899E1,2.568415516E1,4.179678003E1,1.480000019E0,2.285000000E2,3.790092468E0,2.500000000E0
2.344536955E2,6.508553932E1,2.568413457E1,4.172232035E1,1.480000019E0,2.236999969E2,3.790092468E0,2.500000000E0
2.354531099E2,6.508552778E1,2.568411647E1,4.154239217E1,1.529999971E0,2.156000061E2,3.790092468E0,2.500000000E0
2.364535228E2,6.508551632E1,2.568410174E1,4.155234414E1,1.470000029E0,2.111999969E2,3.790092468E0,2.500000000E0
2.374530895E2,6.508550479E1,2.568408739E1,4.136155148E1,1.500000000E0,2.076000061E2,3.790092468E0,2.500000000E0
2.384528791E2,6.508549299E1,2.568407159E1,4.131486296E1,1.539999962E0,2.101999969E2,3.790092468E0,2.500000000E0
2.394535650E2,6.508548054E1,2.568405969E1,4.130784721E1,1.490000010E0,2.046999969E2,3.790092468E0,2.500000000E0
2.404531335E2,6.508546725E1,2.568404718E1,4.112981115E1,1.639999986E0,2.025000000E2,3.790092468E0,2.500000000E0
2.414535884E2,6.508544977E1,2.568403170E1,4.120208132E1,2.140000105E0,2.010000000E2,3.790092468E0,2.500000000E0
2.424531338E2,6.508542992E1,2.568401476E1,4.110644435E1,2.369999886E0,1.996000061E2,3.790092468E0,2.500000000E0
2.434535952E2,6.508540915E1,2.568399987E1,4.099640316E1,2.500000000E0,1.978999939E2,3.790092468E0,2.500000000E0
2.444533366E2,6.508538838E1,2.568398890E1,4.072290959E1,2.460000038E0,1.941000061E2,3.790092468E0,2.500000000E0
2.454535680E2,6.508536693E1,2.568397640E1,4.063307104E1,2.559999943E0,1.938000031E2,3.790092468E0,2.500000000E0
2.464530816E2,6.508534664E1,2.568396355E1,4.070936996E1,2.450000048E0,1.945000000E2,3.790092468E0,2.500000000E0
2.474534043E2,6.508532570E1,2.568395051E1,4.064772958E1,2.480000019E0,1.935000000E2,3.790092468E0,2.500000000E0
2.484529992E2,6.508530409E1,2.568393842E1,4.063412395E1,2.480000019E0,1.916000061E2,3.790092468E0,2.500000000E0
2.494531401E2,6.508528231E1,2.568392631E1,4.049167314E1,2.509999990E0,1.925000000E2,3.790092468E0,2.500000000E0
2.504532770E2,6.508525941E1,2.568391545E1,4.051218635E1,2.569999933E0,1.913999939E2,3.790092468E0,2.500000000E0
2.514536343E2,6.508523649E1,2.568390937E1,4.032505770E1,2.529999971E0,1.861000061E2,3.790092468E0,2.500000000E0
2.524534834E2,6.508521308E1,2.568390460E1,4.012804137E1,2.519999981E0,1.841999969E2,3.790092468E0,2.500000000E0
2.534531043E2,6.508518903E1,2.568390083E1,4.006469211E1,2.569999933E0,1.838999939E2,3.790092468E0,2.500000000E0
2.544533812E2,6.508516500E1,2.568389931E1,3.991717523E1,2.559999943E0,1.801999969E2,3.790092468E0,2.500000000E0
2.554534793E2,6.508514210E1,2.568389984E1,3.977789774E1,2.470000029E0,1.776999969E2,3.790092468E0,2.500000000E0
2.564533803E2,6.508511883E1,2.568390291E1,3.972455769E1,2.500000000E0,1.771999969E2,3.790092468E0,2.500000000E0
2.574529973E2,6.508509614E1,2.568390490E1,3.943495048E1,2.480000019E0,1.778000031E2,3.790092468E0,2.500000000E0
2.584536922E2,6.508507317E1,2.568391067E1,3.937733774E1,2.470000029E0,1.738000031E2,3.790092468E0,2.500000000E0
2.594532498E2,6.508504996E1,2.568391388E1,3.919191758E1,2.529999971E0,1.771999969E2,3.790092468E0,2.500000000E0
2.604531735E2,6.508502759E1,2.568391688E1,3.910421455E1,2.440000057E0,1.765000000E2,3.790092468E0,2.500000000E0
2.614535092E2,6.508500563E1,2.568392315E1,3.902499512E1,2.420000076E0,1.728000031E2,3.790092468E0,2.500000000E0
2.624529194E2,6.508498393E1,2.568392922E1,3.882321706E1,2.410000086E0,1.726000061E2,3.790092468E0,2.500000000E0
2.634535663E2,6.508496261E1,2.568393729E1,3.889292318E1,2.400000095E0,1.708000031E2,3.790092468E0,2.500000000E0
2.644537161E2,6.508494078E1,2.568394873E1,3.864018047E1,2.470000029E0,1.666000061E2,3.790092468E0,2.500000000E0
2.654532795E2,6.508491986E1,2.568395702E1,3.868657106E1,2.369999886E0,1.676000061E2,3.790092468E0,2.500000000E0
2.664536695E2,6.508489886E1,2.568396628E1,3.861937518E1,2.299999952E0,1.698000031E2,3.790092468E0,2.500000000E0
2.674536969E2,6.508487739E1,2.568397645E1,3.872802164E1,2.359999895E0,1.680000000E2,3.790092468E0,2.500000000E0
2.684532887E2,6.508485639E1,2.568398749E1,3.871716110E1,2.339999914E0,1.663000031E2,3.790092468E0,2.500000000E0
2.694537657E2,6.508483595E1,2.568399668E1,3.871386892E1,2.319999933E0,1.681000061E2,3.790092468E0,2.500000000E0
2.704528382E2,6.508481523E1,2.568400610E1,3.880530335E1,2.269999981E0,1.666000061E2,3.790092468E0,2.500000000E0
2.714530011E2,6.508479553E1,2.568401714E1,3.877893961E1,2.180000067E0,1.658000031E2,3.790092468E0,2.500000000E0
2.724536515E2,6.508477640E1,2.568402592E1,3.882819845E1,2.109999895E0,1.700000000E2,3.790092468E0,2.500000000E0
2.734528285E2,6.508475697E1,2.568402061E1,3.859773406E1,2.160000086E0,1.843999939E2,3.790092468E0,2.500000000E0
2.744536091E2,6.508474006E1,2.568400561E1,3.859023114E1,1.970000029E0,2.006000061E2,3.790092468E0,2.500000000E0
2.754530934E2,6.508472367E1,2.568398597E1,3.856655407E1,2.069999933E0,2.041000061E2,3.790092468E0,2.500000000E0
2.764538008E2,6.508470836E1,2.568396365E1,3.852651951E1,2.009999990E0,2.095000000E2,3.790092468E0,2.500000000E0
2.774534095E2,6.508469406E1,2.568393061E1,3.824075784E1,2.200000048E0,2.186999969E2,3.790092468E0,2.500000000E0
2.784528556E2,6.508468094E1,2.568390016E1,3.835709537E1,2.079999924E0,2.170000000E2,3.790092468E0,2.500000000E0
2.794533714E2,6.508466796E1,2.568387090E1,3.823008564E1,2.089999914E0,2.176000061E2,3.790092468E0,2.500000000E0
2.804530647E2,6.508465723E1,2.568384276E1,3.749260174E1,2.039999962E0,2.200000000E2,3.790092468E0,2.500000000E0
2.814534034E2,6.508464645E1,2.568381329E1,3.751726393E1,1.950000048E0,2.233999939E2,3.790092468E0,2.500000000E0
2.824534503E2,6.508463496E1,2.568378705E1,3.676153057E1,1.919999957E0,2.223999939E2,3.790092468E0,2.500000000E0
2.834534986E2,6.508462148E1,2.568376030E1,3.664605644E1,2.039999962E0,2.163999939E2,3.790092468E0,2.500000000E0
2.844532347E2,6.508460727E1,2.568374124E1,3.671191746E1,1.870000005E0,2.068999939E2,3.790092468E0,2.500000000E0
2.854532787E2,6.508459562E1,2.568371869E1,3.669708967E1,1.720000029E0,2.185000000E2,3.790092468E0,2.500000000E0
2.864528379E2,6.508459034E1,2.568369030E1,3.655976335E1,1.409999967E0,2.445000000E2,3.790092468E0,2.500000000E0
2.874537596E2,6.508458383E1,2.568365108E1,3.651978899E1,1.970000029E0,2.465000000E2,3.790092468E0,2.500000000E0
2.884534307E2,6.508458146E1,2.568364107E1,3.644612065E1,5.799999833E-1,2.465000000E2,3.790092468E0,2.500000000E0
